Namespace(gpu=0, seed=0, root_dir='/data/spucosun/3.0', label_noise=0.0, results_csv='/data/spucosun/results/jtt.csv', stdout_file='spuco_sun_jtt.out', arch='resnet18', batch_size=128, num_epochs=1, lr=0.001, weight_decay=0.0001, momentum=0.9, pretrained=False, wandb=False, wandb_project='spuco', wandb_entity=None, wandb_run_name='spuco_sun_jtt', upsample_factor=100)
 | Epoch 0 | Loss: 1.1669546365737915 | Accuracy: 53.90625%
 | Epoch 0 | Loss: 1.1785849332809448 | Accuracy: 46.875%
 | Epoch 0 | Loss: 1.0878219604492188 | Accuracy: 62.5%
 | Epoch 0 | Loss: 1.1780232191085815 | Accuracy: 46.09375%
 | Epoch 0 | Loss: 1.1984281539916992 | Accuracy: 41.40625%
 | Epoch 0 | Loss: 1.1670467853546143 | Accuracy: 50.78125%
 | Epoch 0 | Loss: 1.1641581058502197 | Accuracy: 45.3125%
 | Epoch 0 | Loss: 1.2096002101898193 | Accuracy: 39.84375%
 | Epoch 0 | Loss: 1.0864747762680054 | Accuracy: 55.46875%
 | Epoch 0 | Loss: 1.1781266927719116 | Accuracy: 51.5625%
 | Epoch 0 | Loss: 1.1627711057662964 | Accuracy: 50.0%
 | Epoch 0 | Loss: 1.1746033430099487 | Accuracy: 53.90625%
 | Epoch 0 | Loss: 1.1782029867172241 | Accuracy: 47.65625%
 | Epoch 0 | Loss: 1.0880134105682373 | Accuracy: 54.6875%
 | Epoch 0 | Loss: 1.0784913301467896 | Accuracy: 53.90625%
 | Epoch 0 | Loss: 1.162678837776184 | Accuracy: 52.34375%
 | Epoch 0 | Loss: 1.121685266494751 | Accuracy: 48.4375%
 | Epoch 0 | Loss: 1.1673436164855957 | Accuracy: 51.5625%
 | Epoch 0 | Loss: 1.1381423473358154 | Accuracy: 50.0%
 | Epoch 0 | Loss: 1.1304750442504883 | Accuracy: 56.25%
 | Epoch 0 | Loss: 1.1208221912384033 | Accuracy: 52.34375%
 | Epoch 0 | Loss: 1.184515118598938 | Accuracy: 46.875%
 | Epoch 0 | Loss: 1.0763533115386963 | Accuracy: 60.15625%
 | Epoch 0 | Loss: 1.0621404647827148 | Accuracy: 59.375%
 | Epoch 0 | Loss: 1.1843856573104858 | Accuracy: 49.21875%
 | Epoch 0 | Loss: 1.1778581142425537 | Accuracy: 42.96875%
 | Epoch 0 | Loss: 0.9920390248298645 | Accuracy: 60.9375%
 | Epoch 0 | Loss: 1.0573588609695435 | Accuracy: 57.8125%
 | Epoch 0 | Loss: 1.1367905139923096 | Accuracy: 47.65625%
 | Epoch 0 | Loss: 1.11566162109375 | Accuracy: 50.78125%
 | Epoch 0 | Loss: 1.1250604391098022 | Accuracy: 50.78125%
 | Epoch 0 | Loss: 1.1427916288375854 | Accuracy: 49.21875%
 | Epoch 0 | Loss: 1.146104335784912 | Accuracy: 48.4375%
 | Epoch 0 | Loss: 1.0764741897583008 | Accuracy: 56.25%
 | Epoch 0 | Loss: 1.096851110458374 | Accuracy: 49.21875%
 | Epoch 0 | Loss: 1.0571019649505615 | Accuracy: 50.78125%
 | Epoch 0 | Loss: 1.1764711141586304 | Accuracy: 51.5625%
 | Epoch 0 | Loss: 1.1760406494140625 | Accuracy: 56.25%
 | Epoch 0 | Loss: 1.0455703735351562 | Accuracy: 55.46875%
 | Epoch 0 | Loss: 1.113368272781372 | Accuracy: 55.46875%
 | Epoch 0 | Loss: 1.1258363723754883 | Accuracy: 49.21875%
 | Epoch 0 | Loss: 1.1142724752426147 | Accuracy: 57.03125%
 | Epoch 0 | Loss: 1.0919458866119385 | Accuracy: 60.15625%
 | Epoch 0 | Loss: 1.0727870464324951 | Accuracy: 54.6875%
 | Epoch 0 | Loss: 1.148909330368042 | Accuracy: 52.34375%
 | Epoch 0 | Loss: 1.1069284677505493 | Accuracy: 52.34375%
 | Epoch 0 | Loss: 1.0937165021896362 | Accuracy: 57.8125%
 | Epoch 0 | Loss: 1.0176670551300049 | Accuracy: 53.90625%
 | Epoch 0 | Loss: 1.0178148746490479 | Accuracy: 60.9375%
 | Epoch 0 | Loss: 1.085278034210205 | Accuracy: 57.8125%
 | Epoch 0 | Loss: 1.042283058166504 | Accuracy: 54.6875%
