Namespace(gpu=0, seed=0, root_dir='/data/spucosun/3.0', label_noise=0.0, results_csv='/data/spucosun/results/group_dro.csv', stdout_file='spuco_sun_group_dro.out', arch='resnet18', batch_size=128, num_epochs=2, lr=1e-05, weight_decay=0.1, momentum=0.9, pretrained=False, wandb=False, wandb_project='spuco', wandb_entity=None, wandb_run_name='spuco_sun_group_dro')
 | Epoch 0 | Loss: 1.410893440246582 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3992012739181519 | Accuracy: 31.25%
 | Epoch 0 | Loss: 1.3996928930282593 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.400575876235962 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.3777689933776855 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.4014992713928223 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.3944175243377686 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.4080075025558472 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.385730266571045 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3960034847259521 | Accuracy: 31.25%
 | Epoch 0 | Loss: 1.4059875011444092 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.403041958808899 | Accuracy: 22.65625%
 | Epoch 0 | Loss: 1.398885726928711 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.376903772354126 | Accuracy: 32.03125%
 | Epoch 0 | Loss: 1.3982250690460205 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.3981486558914185 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.401239275932312 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.4027585983276367 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.3997321128845215 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.3848761320114136 | Accuracy: 33.59375%
 | Epoch 0 | Loss: 1.3902733325958252 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3882105350494385 | Accuracy: 33.59375%
 | Epoch 0 | Loss: 1.383296012878418 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3712483644485474 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3859196901321411 | Accuracy: 25.0%
 | Epoch 0 | Loss: 1.3991942405700684 | Accuracy: 31.25%
 | Epoch 0 | Loss: 1.405118703842163 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.3782198429107666 | Accuracy: 35.15625%
 | Epoch 0 | Loss: 1.3959946632385254 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.3803503513336182 | Accuracy: 32.8125%
 | Epoch 0 | Loss: 1.3898118734359741 | Accuracy: 35.9375%
 | Epoch 0 | Loss: 1.3851736783981323 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3967580795288086 | Accuracy: 25.0%
 | Epoch 0 | Loss: 1.3790597915649414 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.3876316547393799 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3970098495483398 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.3960199356079102 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3845261335372925 | Accuracy: 31.25%
 | Epoch 0 | Loss: 1.380389928817749 | Accuracy: 36.71875%
 | Epoch 0 | Loss: 1.3924920558929443 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.3879426717758179 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3685402870178223 | Accuracy: 33.59375%
 | Epoch 0 | Loss: 1.3856230974197388 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.3738830089569092 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.366764783859253 | Accuracy: 32.03125%
 | Epoch 0 | Loss: 1.3971242904663086 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.3854559659957886 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3682360649108887 | Accuracy: 33.59375%
 | Epoch 0 | Loss: 1.3658686876296997 | Accuracy: 35.15625%
 | Epoch 0 | Loss: 1.3880125284194946 | Accuracy: 32.03125%
 | Epoch 0 | Loss: 1.3845100402832031 | Accuracy: 26.5625%
 | Epoch 0 | Loss: 1.3605990409851074 | Accuracy: 39.0625%
 | Epoch 0 | Loss: 1.3813133239746094 | Accuracy: 24.21875%
 | Epoch 0 | Loss: 1.3812720775604248 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3853747844696045 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.382948875427246 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3570334911346436 | Accuracy: 35.15625%
 | Epoch 0 | Loss: 1.380721092224121 | Accuracy: 28.125%
 | Epoch 0 | Loss: 1.3592162132263184 | Accuracy: 38.28125%
 | Epoch 0 | Loss: 1.3808009624481201 | Accuracy: 32.8125%
 | Epoch 0 | Loss: 1.3728969097137451 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3676382303237915 | Accuracy: 34.375%
 | Epoch 0 | Loss: 1.3729124069213867 | Accuracy: 32.03125%
 | Epoch 0 | Loss: 1.3804054260253906 | Accuracy: 25.78125%
 | Epoch 0 | Loss: 1.3744771480560303 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3839082717895508 | Accuracy: 29.6875%
 | Epoch 0 | Loss: 1.3792787790298462 | Accuracy: 27.34375%
 | Epoch 0 | Loss: 1.3686292171478271 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3874638080596924 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.3717368841171265 | Accuracy: 28.90625%
 | Epoch 0 | Loss: 1.3620027303695679 | Accuracy: 30.46875%
 | Epoch 0 | Loss: 1.375420093536377 | Accuracy: 31.25%
 | Epoch 0 | Loss: 1.3779913187026978 | Accuracy: 31.25%
 | Epoch 0 | Loss: 1.3739256858825684 | Accuracy: 27.34375%
